date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:15	11949/11949	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-2ead%22	http://demo.themefisher.com/iamabdus/eden/plugins/select-box/select.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/select-box/select.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:17	34397/34397	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-865d%22	http://demo.themefisher.com/iamabdus/eden/plugins/bootstrap-datepicker-master/bootstrap-datepicker.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/bootstrap-datepicker-master/bootstrap-datepicker.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:17	113138/113138	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-1b9f2%22	http://demo.themefisher.com/iamabdus/eden/plugins/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/rs-plugin/js/jquery.themepunch.revolution.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:17	98511/98511	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-180cf%22	http://demo.themefisher.com/iamabdus/eden/plugins/rs-plugin/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/rs-plugin/js/jquery.themepunch.tools.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:19	28935/28935	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-7107%22	http://demo.themefisher.com/iamabdus/eden/plugins/mixitup-master/jquery.mixitup.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/mixitup-master/jquery.mixitup.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:19	21237/21237	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-52f5%22	http://demo.themefisher.com/iamabdus/eden/plugins/magnific-popup/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/magnific-popup/jquery.magnific-popup.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:19	22342/22342	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-5746%22	http://demo.themefisher.com/iamabdus/eden/plugins/flexslider/jquery.flexslider-min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/flexslider/jquery.flexslider-min.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:20	10332/10332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-285c%22	http://demo.themefisher.com/iamabdus/eden/plugins/countdown/jquery.syotimer.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/countdown/jquery.syotimer.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:20	675/675	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-2a3%22	http://demo.themefisher.com/iamabdus/eden/plugins/dropdown/js/navbar.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/dropdown/js/navbar.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:20	11635/11635	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-2d73%22	http://demo.themefisher.com/iamabdus/eden/plugins/star-Rating/js/star-rating.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/star-Rating/js/star-rating.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
